run_id,timestep,seller_id,price,inventory,prod_rate,capacity,units_sold,utilization
dc619999-5737-44cb-b528-bd2c25dcd63d,0,d8f06b35-8283-4e03-a9f8-b0969bbe2530,115,365,65,2000,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,0,d86078ed-f253-42d8-b294-7453d4374888,115,365,65,2000,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,0,c44b9e0b-7661-4cb1-9043-fcb9d48da91d,110,135,35,500,20,0.5714285714285714
dc619999-5737-44cb-b528-bd2c25dcd63d,0,0e42a54b-eaae-4f55-8f76-cbd2e2895ad4,110,131,35,500,24,0.6857142857142857
dc619999-5737-44cb-b528-bd2c25dcd63d,0,f4666fad-5fbe-4bbe-98c4-78909e9f3b95,110,144,35,500,11,0.3142857142857143
dc619999-5737-44cb-b528-bd2c25dcd63d,0,34b99066-fd54-479c-be40-9ba3c6f1b47d,110,148,35,500,7,0.2
dc619999-5737-44cb-b528-bd2c25dcd63d,0,f5a52f8a-d8ea-4265-9e0a-bdae2562c089,105,25,20,200,95,4.75
dc619999-5737-44cb-b528-bd2c25dcd63d,0,e44547a4-7ce4-4eec-a6c3-b1e60b4aad56,105,4,20,200,116,5.8
dc619999-5737-44cb-b528-bd2c25dcd63d,1,d8f06b35-8283-4e03-a9f8-b0969bbe2530,105.8,409,65,2000,21,0.3230769230769231
dc619999-5737-44cb-b528-bd2c25dcd63d,1,d86078ed-f253-42d8-b294-7453d4374888,105.8,392,65,2000,38,0.5846153846153846
dc619999-5737-44cb-b528-bd2c25dcd63d,1,c44b9e0b-7661-4cb1-9043-fcb9d48da91d,107.49,170,35,500,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,1,0e42a54b-eaae-4f55-8f76-cbd2e2895ad4,108.74,166,35,500,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,1,f4666fad-5fbe-4bbe-98c4-78909e9f3b95,104.66,111,35,500,68,1.9428571428571428
dc619999-5737-44cb-b528-bd2c25dcd63d,1,34b99066-fd54-479c-be40-9ba3c6f1b47d,103.4,40,35,500,143,4.085714285714285
dc619999-5737-44cb-b528-bd2c25dcd63d,1,f5a52f8a-d8ea-4265-9e0a-bdae2562c089,146.47,45,20,200,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,1,e44547a4-7ce4-4eec-a6c3-b1e60b4aad56,157.5,24,20,200,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,2,d8f06b35-8283-4e03-a9f8-b0969bbe2530,100.75,431,65,2000,43,0.6615384615384615
dc619999-5737-44cb-b528-bd2c25dcd63d,2,d86078ed-f253-42d8-b294-7453d4374888,103.52,449,65,2000,8,0.12307692307692308
dc619999-5737-44cb-b528-bd2c25dcd63d,2,c44b9e0b-7661-4cb1-9043-fcb9d48da91d,98.89,59,35,500,146,4.171428571428572
dc619999-5737-44cb-b528-bd2c25dcd63d,2,0e42a54b-eaae-4f55-8f76-cbd2e2895ad4,100.04,137,35,500,64,1.8285714285714285
dc619999-5737-44cb-b528-bd2c25dcd63d,2,f4666fad-5fbe-4bbe-98c4-78909e9f3b95,116.62,146,35,500,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,2,34b99066-fd54-479c-be40-9ba3c6f1b47d,137.37,75,35,500,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,2,f5a52f8a-d8ea-4265-9e0a-bdae2562c089,134.75,65,20,200,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,2,e44547a4-7ce4-4eec-a6c3-b1e60b4aad56,144.9,44,20,200,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,3,d8f06b35-8283-4e03-a9f8-b0969bbe2530,99.36,408,65,2000,88,1.353846153846154
dc619999-5737-44cb-b528-bd2c25dcd63d,3,d86078ed-f253-42d8-b294-7453d4374888,96.51,381,65,2000,133,2.046153846153846
dc619999-5737-44cb-b528-bd2c25dcd63d,3,c44b9e0b-7661-4cb1-9043-fcb9d48da91d,132.23,94,35,500,0,0
dc619999-5737-44cb-b528-bd2c25dcd63d,3,0e42a54b-eaae-4f55-8f76-cbd2e2895ad4,110.33,155,35,500,17,0.4857142857142857
dc619999-5737-44cb-b528-bd2c25dcd63d,3,f4666fad-5fbe-4bbe-98c4-78909e9f3b95,107.29,170,35,500,11,0.3142857142857143
dc619999-5737-44cb-b528-bd2c25dcd63d,3,34b99066-fd54-479c-be40-9ba3c6f1b47d,126.38,110,35,500,0,0
