run_id,timestep,seller_id,price,inventory,prod_rate,capacity,units_sold,utilization
70596b79-5a88-41a8-9b94-125a53f5430c,0,19383c3a-9fbc-426e-bb65-815cebb88f00,130,580,80,2000,0,0
70596b79-5a88-41a8-9b94-125a53f5430c,0,bf6ce8c9-85e7-4882-90a4-42cffa82f758,130,580,80,2000,0,0
70596b79-5a88-41a8-9b94-125a53f5430c,0,73bf48bc-d2ec-466e-8090-4781a4edd986,125,192,50,500,8,0.16
70596b79-5a88-41a8-9b94-125a53f5430c,0,e44a6184-0b14-4fcb-a385-e9ed68fe17c4,125,185,50,500,15,0.3
70596b79-5a88-41a8-9b94-125a53f5430c,0,c314bd6c-7b2b-4ca2-9235-878f57e9da29,125,189,50,500,11,0.22
70596b79-5a88-41a8-9b94-125a53f5430c,0,740ddbc7-9ed8-4c96-8673-32f80cbae031,125,200,50,500,0,0
70596b79-5a88-41a8-9b94-125a53f5430c,0,f34b7321-b2bb-4f72-a843-bb3c79fc24aa,115,79,20,200,91,4.55
70596b79-5a88-41a8-9b94-125a53f5430c,0,b65e06a6-02ee-408d-9170-967436ca47f1,115,75,20,200,95,4.75
70596b79-5a88-41a8-9b94-125a53f5430c,1,19383c3a-9fbc-426e-bb65-815cebb88f00,119.6,660,80,2000,0,0
70596b79-5a88-41a8-9b94-125a53f5430c,1,bf6ce8c9-85e7-4882-90a4-42cffa82f758,119.6,654,80,2000,6,0.075
70596b79-5a88-41a8-9b94-125a53f5430c,1,73bf48bc-d2ec-466e-8090-4781a4edd986,117.0,173,50,500,69,1.38
70596b79-5a88-41a8-9b94-125a53f5430c,1,e44a6184-0b14-4fcb-a385-e9ed68fe17c4,118.75,227,50,500,8,0.16
70596b79-5a88-41a8-9b94-125a53f5430c,1,c314bd6c-7b2b-4ca2-9235-878f57e9da29,117.75,214,50,500,25,0.5
70596b79-5a88-41a8-9b94-125a53f5430c,1,740ddbc7-9ed8-4c96-8673-32f80cbae031,115.0,118,50,500,132,2.64
70596b79-5a88-41a8-9b94-125a53f5430c,1,f34b7321-b2bb-4f72-a843-bb3c79fc24aa,158.12,99,20,200,0,0
70596b79-5a88-41a8-9b94-125a53f5430c,1,b65e06a6-02ee-408d-9170-967436ca47f1,160.43,95,20,200,0,0
