run_id,timestep,total_units_sold,total_demand,total_inventory,total_supply_available,min_price,max_price,shock_active,total_unmet_demand,average_price,transaction_count
70596b79-5a88-41a8-9b94-125a53f5430c,0,220,220,2080,2300,90,130,False,106,116.30434782608695,69
70596b79-5a88-41a8-9b94-125a53f5430c,1,240,240,2240,2480,90,160.43,False,63,116.03013698630139,73
70596b79-5a88-41a8-9b94-125a53f5430c,2,234,234,2406,2640,90,147.6,False,56,110.74524390243901,82
70596b79-5a88-41a8-9b94-125a53f5430c,3,244,244,2562,2806,90,135.79,False,46,109.48499999999997,84
70596b79-5a88-41a8-9b94-125a53f5430c,4,265,265,2697,2962,90,124.93,False,49,109.89084337349402,83
70596b79-5a88-41a8-9b94-125a53f5430c,5,236,236,2861,3097,90,128.49,False,31,105.50465116279082,86
70596b79-5a88-41a8-9b94-125a53f5430c,6,242,242,3019,3261,90,118.21,False,40,103.07627906976745,86
70596b79-5a88-41a8-9b94-125a53f5430c,7,264,264,3155,3419,90,124.9,False,23,99.86560439560448,91
70596b79-5a88-41a8-9b94-125a53f5430c,8,284,284,3262,3546,90,119.81,False,29,97.19684782608688,92
70596b79-5a88-41a8-9b94-125a53f5430c,9,279,279,3365,3644,90,110.23,False,16,97.31021276595746,94
70596b79-5a88-41a8-9b94-125a53f5430c,10,326,326,3439,3765,90,131.0,False,21,98.1536170212765,94
70596b79-5a88-41a8-9b94-125a53f5430c,11,305,305,3516,3821,90,126.68,False,6,94.0571134020619,97
70596b79-5a88-41a8-9b94-125a53f5430c,12,281,281,3623,3904,90,116.55,False,8,93.30680412371133,97
70596b79-5a88-41a8-9b94-125a53f5430c,13,323,323,3700,4023,90,116.77,False,14,92.76904255319154,94
70596b79-5a88-41a8-9b94-125a53f5430c,14,277,277,3809,4086,90,114.13,False,9,94.01371134020631,97
70596b79-5a88-41a8-9b94-125a53f5430c,15,316,316,3892,4208,88.45,120.6,False,2,90.18121212121213,99
70596b79-5a88-41a8-9b94-125a53f5430c,16,282,282,3997,4279,88.8,110.95,False,13,92.44625000000002,96
70596b79-5a88-41a8-9b94-125a53f5430c,17,305,305,4072,4377,90,102.1,False,7,90.57193877551036,98
70596b79-5a88-41a8-9b94-125a53f5430c,18,306,306,4159,4465,87.62,139.53,False,2,89.63161616161617,99
70596b79-5a88-41a8-9b94-125a53f5430c,19,290,290,4204,4494,86.92,128.37,False,2,87.42070707070712,99
70596b79-5a88-41a8-9b94-125a53f5430c,20,314,314,4234,4548,86.37,118.1,False,3,87.1913131313131,99
70596b79-5a88-41a8-9b94-125a53f5430c,21,296,296,4273,4569,84.47,108.65,False,4,85.7674747474748,99
70596b79-5a88-41a8-9b94-125a53f5430c,22,284,284,4327,4611,84.56,104.57,False,0,86.13303030303035,99
70596b79-5a88-41a8-9b94-125a53f5430c,23,298,298,4412,4710,83.71,100.29,False,4,84.75383838383846,99
70596b79-5a88-41a8-9b94-125a53f5430c,24,306,306,4438,4744,84.6,94.59,False,1,85.32171717171728,99
70596b79-5a88-41a8-9b94-125a53f5430c,25,296,296,4467,4763,82.1,130.71,False,0,82.83170000000011,100
70596b79-5a88-41a8-9b94-125a53f5430c,26,323,323,4492,4815,79.35,120.25,False,0,80.66930000000009,100
70596b79-5a88-41a8-9b94-125a53f5430c,27,296,296,4530,4826,82.03,110.63,False,5,82.32161616161605,99
70596b79-5a88-41a8-9b94-125a53f5430c,28,332,332,4508,4840,78.58,101.78,False,0,79.82220000000005,100
70596b79-5a88-41a8-9b94-125a53f5430c,29,320,320,4555,4875,79.71,99.95,False,0,80.46219999999998,100
70596b79-5a88-41a8-9b94-125a53f5430c,30,280,280,4636,4916,78.48,108.33,False,0,79.3487999999999,100
70596b79-5a88-41a8-9b94-125a53f5430c,31,295,295,4698,4993,79.26,99.66,False,0,80.09740000000006,100
