run_id,timestep,total_units_sold,total_demand,total_inventory,total_supply_available,min_price,max_price,shock_active,total_unmet_demand,average_price,transaction_count
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,0,265,265,2115,2380,90,120,False,61,111.08433734939759,83
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,1,261,261,2274,2535,90,149.16,False,42,108.2670238095237,84
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,2,250,250,2444,2694,90,137.23,False,40,103.21124999999996,88
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,3,256,256,2608,2864,90,126.25,False,34,100.13943181818173,88
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,4,291,291,2737,3028,90,116.15,False,23,101.75466666666652,90
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,5,247,247,2910,3157,90,115.81,False,20,100.66300000000003,90
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,6,269,269,3061,3330,90,107.45,False,13,97.13276595744678,94
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,7,276,276,3205,3481,90,110.95,False,11,95.84831578947373,95
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,8,295,295,3330,3625,90,105.28,False,18,93.7460416666667,96
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,9,286,286,3464,3750,90,116.26,False,9,92.33153061224492,98
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,10,347,347,3537,3884,87.69,112.51,False,0,88.54828282828278,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,11,307,307,3650,3957,87.36,141.01,False,4,88.14686868686859,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,12,288,288,3782,4070,87.75,129.73,False,1,88.43777777777774,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,13,335,335,3867,4202,85.66,119.35,False,2,86.51808080808084,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,14,284,284,4003,4287,84.1,110.16,False,2,84.67898989899003,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,15,318,318,4103,4421,81.76,101.35,False,0,84.58580000000009,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,16,295,295,4228,4523,82.81,112.61,False,0,84.3763000000001,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,17,309,309,4339,4648,82.74,103.6,False,3,83.95898989898988,99
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,18,308,308,4451,4759,79.87,98.47,False,0,80.67709999999992,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,19,292,292,4574,4866,82.84,90.59,False,0,84.27289999999999,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,20,317,317,4636,4953,80.67,92.43,False,0,80.92160000000007,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,21,300,300,4753,5053,76.84,128.43,False,0,78.7692,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,22,284,284,4874,5158,77.03,118.16,False,0,78.00299999999997,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,23,302,302,4975,5277,76.52,108.71,False,0,77.51500000000001,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,24,307,307,5040,5347,76.26,100.01,False,0,76.61660000000006,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,25,296,296,5066,5362,73.86,98.68,False,0,74.28979999999997,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,26,323,323,5138,5461,72.76,90.79,False,0,74.05500000000009,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,27,301,301,5229,5530,72.93,83.53,False,0,74.38960000000012,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,28,332,332,5259,5591,71.65,81.24,False,0,73.51449999999991,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,29,320,320,5220,5540,71.32,110.05,False,0,71.97259999999999,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,30,280,280,5297,5577,68.39,101.25,False,0,69.42190000000014,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,31,295,295,5392,5687,69.48,93.15,False,0,70.17169999999992,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,32,289,289,5474,5763,69.03,85.7,False,0,69.60909999999998,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,33,306,306,5482,5788,66.67,87.67,False,0,67.5741,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,34,353,353,5536,5889,65.81,80.66,False,0,67.32690000000007,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,35,320,320,5567,5887,67.66,83.13,False,0,68.1959,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,36,304,304,5632,5936,67.26,87.71,False,0,67.47760000000011,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,37,287,287,5697,5984,63.08,83.4,False,0,64.14519999999996,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,38,294,294,5789,6083,64.73,76.73,False,0,65.52409999999992,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,39,294,294,5861,6155,64.06,99.68,False,0,64.29730000000009,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,40,296,296,5824,6120,61.51,91.71,False,0,62.979600000000055,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,41,306,306,5837,6143,59.74,84.37,False,0,60.910499999999914,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,42,315,315,5927,6242,58.37,77.62,False,0,60.76699999999993,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,43,267,267,6036,6303,60.95,71.41,False,0,61.88429999999991,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,44,290,290,6141,6431,59.64,75.58,False,0,60.08120000000008,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,45,291,291,6128,6419,58.74,69.53,False,0,59.138399999999876,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,46,307,307,6185,6492,55.6,70.14,False,0,56.77560000000004,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,47,303,303,6232,6535,56.94,86.29,False,0,57.51149999999994,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,48,323,323,6241,6564,55.21,79.39,False,0,55.459799999999994,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,49,312,312,6250,6562,53.62,73.04,False,0,54.09790000000001,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,50,285,285,6340,6625,53.02,67.2,False,0,54.52330000000003,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,51,318,318,6394,6712,54.99,62.78,False,0,55.53679999999992,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,52,317,317,6449,6766,53.75,61.07,False,0,54.5937,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,53,304,304,6412,6716,53.0,85.36,False,0,53.1738,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,54,313,313,6349,6662,51.69,78.53,False,0,51.990799999999965,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,55,306,306,6298,6604,50.4,72.25,False,0,50.93949999999996,100
9ab3d58a-0435-45ac-8b2b-f7f24cc90b00,56,276,276,6388,6664,49.7,66.47,False,0,51.22409999999994,100
