run_id,timestep,seller_id,price,inventory,prod_rate,capacity,units_sold,utilization
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,120,265,45,1800,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,506de018-d37d-4c4f-ae99-e415156b219a,120,265,45,1800,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,115,95,25,400,20,0.8
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,115,91,25,400,24,0.96
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,027553c9-633f-4fda-9cd5-8300cefaddee,115,104,25,400,11,0.44
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,115,108,25,400,7,0.28
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,110,0,12,150,82,6.833333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,0,ca73f140-d009-44a6-9bec-a9ae44fb4410,110,0,12,150,82,6.833333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,110.4,265,45,1800,45,1.0
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,506de018-d37d-4c4f-ae99-e415156b219a,110.4,244,45,1800,66,1.4666666666666666
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,115.0,120,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,116.84,116,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,027553c9-633f-4fda-9cd5-8300cefaddee,110.86,115,25,400,14,0.56
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,109.02,0,25,400,133,5.32
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,176.37,12,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,1,ca73f140-d009-44a6-9bec-a9ae44fb4410,176.37,12,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,112.61,289,45,1800,21,0.4666666666666667
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,506de018-d37d-4c4f-ae99-e415156b219a,117.76,289,45,1800,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,105.8,6,25,400,139,5.56
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,107.49,83,25,400,58,2.32
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,027553c9-633f-4fda-9cd5-8300cefaddee,108.2,118,25,400,22,0.88
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,158.3,25,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,162.26,24,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,2,ca73f140-d009-44a6-9bec-a9ae44fb4410,162.26,24,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,108.86,263,45,1800,71,1.5777777777777777
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,506de018-d37d-4c4f-ae99-e415156b219a,108.34,202,45,1800,132,2.933333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,156.16,31,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,123.83,95,25,400,13,0.52
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,027553c9-633f-4fda-9cd5-8300cefaddee,109.07,132,25,400,11,0.44
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,145.64,44,25,400,6,0.24
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,149.28,36,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,3,ca73f140-d009-44a6-9bec-a9ae44fb4410,149.28,36,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,117.33,221,45,1800,87,1.9333333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,506de018-d37d-4c4f-ae99-e415156b219a,131.45,244,45,1800,3,0.06666666666666667
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,143.67,56,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,120.36,101,25,400,19,0.76
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,027553c9-633f-4fda-9cd5-8300cefaddee,105.14,39,25,400,118,4.72
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,137.48,69,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,137.34,48,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,4,ca73f140-d009-44a6-9bec-a9ae44fb4410,137.34,47,12,150,1,0.08333333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,130.63,266,45,1800,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,506de018-d37d-4c4f-ae99-e415156b219a,121.81,258,45,1800,31,0.6888888888888889
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,132.18,81,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,119.88,7,25,400,119,4.76
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,027553c9-633f-4fda-9cd5-8300cefaddee,146.35,64,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,126.48,92,25,400,2,0.08
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,126.35,38,12,150,22,1.8333333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,5,ca73f140-d009-44a6-9bec-a9ae44fb4410,127.5,59,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,120.18,292,45,1800,19,0.4222222222222222
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,506de018-d37d-4c4f-ae99-e415156b219a,120.46,288,45,1800,15,0.3333333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,121.61,106,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,167.35,32,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,027553c9-633f-4fda-9cd5-8300cefaddee,134.64,89,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,117.37,61,25,400,56,2.24
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,139.41,50,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,6,ca73f140-d009-44a6-9bec-a9ae44fb4410,117.3,0,12,150,71,5.916666666666667
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,115.64,311,45,1800,26,0.5777777777777777
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,506de018-d37d-4c4f-ae99-e415156b219a,114.84,247,45,1800,86,1.9111111111111112
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,111.88,28,25,400,103,4.12
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,153.96,57,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,027553c9-633f-4fda-9cd5-8300cefaddee,123.87,109,25,400,5,0.2
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,134.27,86,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,128.26,62,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,7,ca73f140-d009-44a6-9bec-a9ae44fb4410,177.32,12,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,113.07,223,45,1800,133,2.9555555555555557
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,506de018-d37d-4c4f-ae99-e415156b219a,127.6,292,45,1800,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,cac2e4af-da33-4e98-af17-bbbaf4fc09fa,149.02,53,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,0eb2ecc5-4734-43d3-b846-dbc24c3acdda,141.64,82,25,400,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,027553c9-633f-4fda-9cd5-8300cefaddee,116.44,72,25,400,62,2.48
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,8b9c2926-ce07-454d-bd2c-8bdeed8c56ac,123.53,100,25,400,11,0.44
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,32774edf-dbd4-4e28-95a1-cb9a43d48bdc,118.0,52,12,150,22,1.8333333333333333
247ff374-fc16-4ceb-a8cd-3af97294b29d,8,ca73f140-d009-44a6-9bec-a9ae44fb4410,163.13,24,12,150,0,0
247ff374-fc16-4ceb-a8cd-3af97294b29d,9,17616b47-49c5-4bc8-b466-6e2b3c3c6c63,137.44,268,45,1800,0,0
