run_id,timestep,buyer_id,wtp,initial_demand,unmet_demand,fulfilled_demand,served
1d91bce3-d10d-4098-a254-5974788c333d,0,a2428f7d-8bd2-48ff-9509-4d1ebd6ad340,131.09434159508862,6,0,6,True
1d91bce3-d10d-4098-a254-5974788c333d,0,81719f64-6627-451a-aa6a-9fbf2e8833b3,98.95640986275365,2,2,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,a7828853-bcaa-4ba4-ad30-684602c2f032,142.58795949725658,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f6964ecd-c6d8-4d7b-9bbe-fb41f7f83381,132.37501568164998,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,0d060719-bf75-4bf6-bd23-e6e86abeff39,121.30275272909479,5,0,5,True
1d91bce3-d10d-4098-a254-5974788c333d,0,79ad4d38-ff53-43a7-b272-7b55ab4c4471,135.64618371106698,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,d5b920fd-eae0-4229-85bc-1e87f6dffa20,133.25465223191978,4,0,4,True
1d91bce3-d10d-4098-a254-5974788c333d,0,7dc4faef-51bd-4ebe-a3f8-aa9763f4ee61,147.57944585441783,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,a1b2a297-b4e2-4f2e-8a9d-43f79a2bfc69,138.01185575649401,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,593ce025-c467-458c-bf6a-a163f9e37c3c,129.37377193458025,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,16de66b1-51bd-4ec1-9257-456f62c1bd4e,126.35158138977783,8,0,8,True
1d91bce3-d10d-4098-a254-5974788c333d,0,572a2b95-3638-4d44-838f-73bd8befe450,154.89882622468792,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,71ba93af-914c-41a2-a602-3c8daad63860,139.2245315958571,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,79c8ad0a-ee3e-4390-8097-0a9bb93f7a74,115.75296414670865,8,0,8,True
1d91bce3-d10d-4098-a254-5974788c333d,0,91fa4ca5-55fd-43a9-8644-45b888cccda8,106.61095427996777,6,6,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,8b48a78c-1a81-4bb4-a93b-7ad3cee64002,128.1707938215343,5,0,5,True
1d91bce3-d10d-4098-a254-5974788c333d,0,73283657-8cbd-4025-9b36-1af496ae5698,117.73892306869857,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,4dade2b6-20ce-4342-bb52-2ef66e8e7f4b,115.61195319594552,5,0,5,True
1d91bce3-d10d-4098-a254-5974788c333d,0,aada40bc-bd8e-402f-94fc-cacd25d478d2,123.03029030981153,0,0,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,419f88b3-9026-4596-b47d-cb52e12c4b9e,98.54600775291195,4,4,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,4ef498a6-7648-4268-be80-89a54c8648d0,120.8912488426474,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,d2f287fb-00ba-4ba9-a75b-4b037fcea76b,90.45359153615303,3,3,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,882a32d0-1b4c-41db-abc7-51948ca0963c,96.07884291223091,4,4,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,ab9fed99-6327-4516-afca-0730c8ef4a98,128.58551269912633,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,7d0f95a0-c9b2-486b-8e8f-bd89747e199b,152.18375150480873,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f50bb384-811d-43dc-bb69-5ff03f75ad2d,154.26605782439123,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,6ef3feee-67e7-4e3e-a0c3-785da725c6d0,137.7030189362881,4,0,4,True
1d91bce3-d10d-4098-a254-5974788c333d,0,17b7da8e-161b-45e8-a335-ff00ead2b2ca,95.58387410994683,4,4,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,eece8af0-1f99-46fa-bb10-2ec136c0bd36,164.93461783383572,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,30919101-bc7d-498b-af89-694166ab5c99,108.74117809379348,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5f57752e-5a21-4956-9f11-458b6a17f45e,146.31960461575287,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,1e501e98-8b77-4801-96a6-9c8df0e99feb,115.27384181853338,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,22d9bf01-5aa3-4527-94cd-de61162f4e4e,115.01408802921696,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,bac1d83d-f5a0-4674-8f6d-3166ba9b3c3c,110.49547870928494,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5e29f451-71b4-43f0-b705-ff6f35bc3e37,121.86724204683819,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,1baeac3a-9067-4a70-9f32-5b68b6b0436a,115.9003303931844,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,80a5270b-6cb6-414a-ba4f-f0119b9b5bf2,129.38765002727712,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f6d786b1-78c3-4ddf-b3ad-6566d2d277f8,155.71511983991985,6,0,6,True
1d91bce3-d10d-4098-a254-5974788c333d,0,a432739b-479d-4ceb-93de-295530457274,159.47331441566593,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5b5eee4c-44b6-498a-90b1-6ca401cf959f,154.22888584484406,4,0,4,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f47bbff3-63ce-4a57-a04f-274c08b53bba,117.1078975428082,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,6a01a876-bb5b-4e1b-bcee-926d54e600cc,153.14963722627434,5,0,5,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5bf8a142-14a0-4c53-a2d3-2e65106a2e58,124.02563196139764,4,0,4,True
1d91bce3-d10d-4098-a254-5974788c333d,0,4acd54ab-ebe4-4e74-88f6-370b60d278b6,98.47214564520871,5,5,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,16c3cfd4-757e-4df1-9b1f-30ca9d366033,134.77028374898526,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,ac614296-f991-4bd8-a741-771837e2c196,151.74796214885487,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,1344ba87-84e8-4652-a6e2-a35dc1705998,129.84993582542444,6,0,6,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5d2defb3-a597-45dd-8e4b-f2941fbc29b9,129.56456660277811,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,0d17744d-be44-419f-b404-bedc0fd72835,149.11707241776466,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,44328ae5-24a7-42b7-ab2e-47fd4e343024,114.41121145267853,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f365f02c-73ca-40cc-ba5b-a30f15c292c7,167.58494224056597,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,c6f915db-5397-4591-a2d7-66ddd23f72ea,101.56866742349317,3,3,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,363999c1-6839-4274-bb38-be3d28fa819b,120.0944430811578,1,0,1,True
1d91bce3-d10d-4098-a254-5974788c333d,0,58be97ca-d97c-4367-8ddd-127fb3f8e9e7,122.32354070967918,4,0,4,True
1d91bce3-d10d-4098-a254-5974788c333d,0,f24e70ba-3b33-4d07-8427-d364a07bd4f9,119.6722501998209,6,0,6,True
1d91bce3-d10d-4098-a254-5974788c333d,0,ba44fef8-80a1-404b-9fff-36cb31d71fba,134.43077045090277,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,351f0fb4-5248-4bf0-ba9e-884e649da069,125.00168786182829,3,0,3,True
1d91bce3-d10d-4098-a254-5974788c333d,0,ca09edc3-037a-4a7d-aee8-35fe8ba78af1,123.05426803173022,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,2d0e583d-dc07-4cc5-897e-ae17b2e18a00,102.75177056033164,2,2,0,False
1d91bce3-d10d-4098-a254-5974788c333d,0,ec64fc2e-ec3e-4d28-9c21-d5d2ec1d13fa,134.60286806783222,2,0,2,True
1d91bce3-d10d-4098-a254-5974788c333d,0,5d8fc50d-d558-439c-9b17-3592af4b9380,126.04933596712488,5,0,5,True
