run_id,timestep,seller_id,price,inventory,prod_rate,capacity,units_sold,utilization
1d91bce3-d10d-4098-a254-5974788c333d,0,3c3a4195-f559-4570-8836-f1633fea1e08,118,315,55,2000,0,0
1d91bce3-d10d-4098-a254-5974788c333d,0,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,118,315,55,2000,0,0
1d91bce3-d10d-4098-a254-5974788c333d,0,76e320b8-55b1-4144-9b01-b32d0dcaba64,113,118,28,500,20,0.7142857142857143
1d91bce3-d10d-4098-a254-5974788c333d,0,269849a9-61c7-4de8-9838-8f576e9fce32,113,114,28,500,24,0.8571428571428571
1d91bce3-d10d-4098-a254-5974788c333d,0,b5af51bd-e367-4a9f-a653-c16b758b531e,113,127,28,500,11,0.39285714285714285
1d91bce3-d10d-4098-a254-5974788c333d,0,5f189c2d-ad2c-4564-b02e-d54fb780c338,113,131,28,500,7,0.25
1d91bce3-d10d-4098-a254-5974788c333d,0,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,108,0,14,200,94,6.714285714285714
1d91bce3-d10d-4098-a254-5974788c333d,0,d41689d4-5c92-427c-bd18-60c30484f8c7,108,0,14,200,94,6.714285714285714
1d91bce3-d10d-4098-a254-5974788c333d,1,3c3a4195-f559-4570-8836-f1633fea1e08,108.56,349,55,2000,21,0.38181818181818183
1d91bce3-d10d-4098-a254-5974788c333d,1,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,108.56,332,55,2000,38,0.6909090909090909
1d91bce3-d10d-4098-a254-5974788c333d,1,76e320b8-55b1-4144-9b01-b32d0dcaba64,112.03,146,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,1,269849a9-61c7-4de8-9838-8f576e9fce32,113.65,142,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,1,b5af51bd-e367-4a9f-a653-c16b758b531e,108.4,87,28,500,68,2.4285714285714284
1d91bce3-d10d-4098-a254-5974788c333d,1,5f189c2d-ad2c-4564-b02e-d54fb780c338,106.78,23,28,500,136,4.857142857142857
1d91bce3-d10d-4098-a254-5974788c333d,1,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,171.87,14,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,1,d41689d4-5c92-427c-bd18-60c30484f8c7,171.87,14,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,2,3c3a4195-f559-4570-8836-f1633fea1e08,104.02,348,55,2000,56,1.018181818181818
1d91bce3-d10d-4098-a254-5974788c333d,2,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,107.38,379,55,2000,8,0.14545454545454545
1d91bce3-d10d-4098-a254-5974788c333d,2,76e320b8-55b1-4144-9b01-b32d0dcaba64,103.07,33,28,500,141,5.035714285714286
1d91bce3-d10d-4098-a254-5974788c333d,2,269849a9-61c7-4de8-9838-8f576e9fce32,104.56,131,28,500,39,1.3928571428571428
1d91bce3-d10d-4098-a254-5974788c333d,2,b5af51bd-e367-4a9f-a653-c16b758b531e,126.05,115,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,2,5f189c2d-ad2c-4564-b02e-d54fb780c338,150.1,51,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,2,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,158.12,28,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,2,d41689d4-5c92-427c-bd18-60c30484f8c7,158.12,28,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,3,3c3a4195-f559-4570-8836-f1633fea1e08,106.29,326,55,2000,77,1.4
1d91bce3-d10d-4098-a254-5974788c333d,3,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,100.35,301,55,2000,133,2.418181818181818
1d91bce3-d10d-4098-a254-5974788c333d,3,76e320b8-55b1-4144-9b01-b32d0dcaba64,146.73,61,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,3,269849a9-61c7-4de8-9838-8f576e9fce32,110.76,134,28,500,25,0.8928571428571429
1d91bce3-d10d-4098-a254-5974788c333d,3,b5af51bd-e367-4a9f-a653-c16b758b531e,115.97,142,28,500,1,0.03571428571428571
1d91bce3-d10d-4098-a254-5974788c333d,3,5f189c2d-ad2c-4564-b02e-d54fb780c338,138.09,73,28,500,6,0.21428571428571427
1d91bce3-d10d-4098-a254-5974788c333d,3,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,145.47,42,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,3,d41689d4-5c92-427c-bd18-60c30484f8c7,145.47,42,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,4,3c3a4195-f559-4570-8836-f1633fea1e08,112.67,334,55,2000,47,0.8545454545454545
1d91bce3-d10d-4098-a254-5974788c333d,4,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,116.59,348,55,2000,8,0.14545454545454545
1d91bce3-d10d-4098-a254-5974788c333d,4,76e320b8-55b1-4144-9b01-b32d0dcaba64,134.99,89,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,4,269849a9-61c7-4de8-9838-8f576e9fce32,111.79,81,28,500,81,2.892857142857143
1d91bce3-d10d-4098-a254-5974788c333d,4,b5af51bd-e367-4a9f-a653-c16b758b531e,107.11,52,28,500,118,4.214285714285714
1d91bce3-d10d-4098-a254-5974788c333d,4,5f189c2d-ad2c-4564-b02e-d54fb780c338,130.0,93,28,500,8,0.2857142857142857
1d91bce3-d10d-4098-a254-5974788c333d,4,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,133.83,56,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,4,d41689d4-5c92-427c-bd18-60c30484f8c7,133.83,56,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,5,3c3a4195-f559-4570-8836-f1633fea1e08,113.28,332,55,2000,57,1.0363636363636364
1d91bce3-d10d-4098-a254-5974788c333d,5,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,108.96,282,55,2000,121,2.2
1d91bce3-d10d-4098-a254-5974788c333d,5,76e320b8-55b1-4144-9b01-b32d0dcaba64,124.19,117,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,5,269849a9-61c7-4de8-9838-8f576e9fce32,135.19,109,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,5,b5af51bd-e367-4a9f-a653-c16b758b531e,143.68,80,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,5,5f189c2d-ad2c-4564-b02e-d54fb780c338,123.31,121,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,5,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,123.12,54,14,200,16,1.1428571428571428
1d91bce3-d10d-4098-a254-5974788c333d,5,d41689d4-5c92-427c-bd18-60c30484f8c7,123.12,57,14,200,13,0.9285714285714286
1d91bce3-d10d-4098-a254-5974788c333d,6,3c3a4195-f559-4570-8836-f1633fea1e08,115.96,367,55,2000,20,0.36363636363636365
1d91bce3-d10d-4098-a254-5974788c333d,6,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,124.21,326,55,2000,11,0.2
1d91bce3-d10d-4098-a254-5974788c333d,6,76e320b8-55b1-4144-9b01-b32d0dcaba64,114.25,85,28,500,60,2.142857142857143
1d91bce3-d10d-4098-a254-5974788c333d,6,269849a9-61c7-4de8-9838-8f576e9fce32,124.37,137,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,6,b5af51bd-e367-4a9f-a653-c16b758b531e,132.19,108,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,6,5f189c2d-ad2c-4564-b02e-d54fb780c338,113.45,17,28,500,132,4.714285714285714
1d91bce3-d10d-4098-a254-5974788c333d,6,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,127.34,68,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,6,d41689d4-5c92-427c-bd18-60c30484f8c7,124.7,71,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,7,3c3a4195-f559-4570-8836-f1633fea1e08,110.9,293,55,2000,129,2.3454545454545452
1d91bce3-d10d-4098-a254-5974788c333d,7,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,116.76,375,55,2000,6,0.10909090909090909
1d91bce3-d10d-4098-a254-5974788c333d,7,76e320b8-55b1-4144-9b01-b32d0dcaba64,129.59,113,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,7,269849a9-61c7-4de8-9838-8f576e9fce32,114.42,96,28,500,69,2.4642857142857144
1d91bce3-d10d-4098-a254-5974788c333d,7,b5af51bd-e367-4a9f-a653-c16b758b531e,121.61,136,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,7,5f189c2d-ad2c-4564-b02e-d54fb780c338,157.86,45,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,7,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,117.15,82,14,200,0,0
1d91bce3-d10d-4098-a254-5974788c333d,7,d41689d4-5c92-427c-bd18-60c30484f8c7,114.72,61,14,200,24,1.7142857142857142
1d91bce3-d10d-4098-a254-5974788c333d,8,3c3a4195-f559-4570-8836-f1633fea1e08,128.04,348,55,2000,0,0
1d91bce3-d10d-4098-a254-5974788c333d,8,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,108.69,342,55,2000,88,1.6
1d91bce3-d10d-4098-a254-5974788c333d,8,76e320b8-55b1-4144-9b01-b32d0dcaba64,119.22,139,28,500,2,0.07142857142857142
1d91bce3-d10d-4098-a254-5974788c333d,8,269849a9-61c7-4de8-9838-8f576e9fce32,133.46,124,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,8,b5af51bd-e367-4a9f-a653-c16b758b531e,111.88,118,28,500,46,1.6428571428571428
1d91bce3-d10d-4098-a254-5974788c333d,8,5f189c2d-ad2c-4564-b02e-d54fb780c338,145.23,73,28,500,0,0
1d91bce3-d10d-4098-a254-5974788c333d,8,3faddcb9-c9a2-4f61-9dd7-fa3c2a49630a,107.78,0,14,200,96,6.857142857142857
1d91bce3-d10d-4098-a254-5974788c333d,8,d41689d4-5c92-427c-bd18-60c30484f8c7,125.21,68,14,200,7,0.5
1d91bce3-d10d-4098-a254-5974788c333d,9,3c3a4195-f559-4570-8836-f1633fea1e08,117.8,389,55,2000,14,0.2545454545454545
1d91bce3-d10d-4098-a254-5974788c333d,9,5dbda3d1-26a8-4155-9850-fa22b1a9e64a,117.39,333,55,2000,64,1.1636363636363636
1d91bce3-d10d-4098-a254-5974788c333d,9,76e320b8-55b1-4144-9b01-b32d0dcaba64,110.53,35,28,500,132,4.714285714285714
